sheet,row,forwarder,label,predicted,expected,rule_engine_now,engine_matches_a,reason,in_stat,in_tarif,in_fr_diff,in_tz_diff,in_empf_plz,in_empf_ort,in_anz_sdg,in_av_diff,in_exp_diff,in_exp_dl,in_snk_dl,in_snk_diff,in_snk_tarif,in_maut_diff,in_dgr_diff,in_serv_art,in_sachkonto,in_zz_diff,in_referenz3,in_lg_diff
Soll-Ist-Vergleich best. Beleg,122,dachser,correct,,,,true,STAT=30 | TARIF=45.66 | FR=0.02 | TZ=0.01 | VKG_DL=40 | SERV=DA01 | SACH=612100,30,45.66,0.02,0.01,22335,Hamburg,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,123,dachser,correct,,,,true,STAT=30 | TARIF=45.66 | FR=0.02 | TZ=0.01 | VKG_DL=40 | SERV=DA01 | SACH=612100,30,45.66,0.02,0.01,20354,Hamburg,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,124,dachser,correct,Differenz Automatische Zustellterminvereinbarung - Laderaumzuschlag // Produktzuschlag,Differenz Automatische Zustellterminvereinbarung - Laderaumzuschlag // Produktzuschlag,Differenz Automatische Zustellterminvereinbarung - Laderaumzuschlag // Produktzuschlag,true,STAT=10 | TARIF=56.51 | FR=-0.02 | SNK_DL=5 | SNK_DIFF=2.74 | EXP=10 | EXP_DL=10 | VKG_DL=127,10,56.51,-0.02,,88499,RIEDLINGEN,1,,10,10,5,2.74,2.26,,,,,,,
Soll-Ist-Vergleich best. Beleg,125,dachser,correct,Mautdifferenz // Differenz aufgrund abweichender Zwischenempfänger 03149 Forst,Mautdifferenz // Differenz aufgrund abweichender Zwischenempfänger 03149 Forst,Mautdifferenz // Differenz aufgrund abweichender Zwischenempfänger 03188 Kyiv,false,STAT=10 | TARIF=529.06 | FR=-414.1 | MAUT=1.65 | TZ=-72.47 | VKG_DL=39 | REF3=ZW | SERV=DA01 | SACH=612100,10,529.06,-414.1,-72.47,03188,Kyiv,1,,,,,,,1.65,,DA01,612100,,ZW,
Soll-Ist-Vergleich best. Beleg,126,dachser,correct,,,,true,STAT=30 | TARIF=57.18 | FR=-0.04 | TZ=-0.01 | VKG_DL=65 | SERV=DA01 | SACH=612100,30,57.18,-0.04,-0.01,44628,Herne,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,127,dachser,correct,,,,true,STAT=30 | TARIF=54.25 | FR=-0.02 | VKG_DL=120 | SERV=DA01 | SACH=612100,30,54.25,-0.02,,88348,Bad Saulgau,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,128,dachser,correct,,,,true,STAT=30 | TARIF=45.41 | FR=0.02 | TZ=0.01 | VKG_DL=45 | SERV=DA01 | SACH=612100,30,45.41,0.02,0.01,27243,Harpstedt,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,129,dachser,correct,,,,true,STAT=30 | TARIF=104.45 | FR=0.01 | EXP_DL=30 | VKG_DL=124 | SERV=DA07 | SACH=612100,30,104.45,0.01,,14480,Potsdam,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,130,dachser,correct,,,,true,STAT=30 | TARIF=103.1 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=108 | SERV=DA07 | SACH=612100,30,103.1,-0.04,-0.01,12619,Berlin,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,131,dachser,correct,,,,true,STAT=30 | TARIF=108.97 | FR=-0.02 | VKG_DL=369 | SERV=DA01 | SACH=612100,30,108.97,-0.02,,80802,München,1,,,,,,,,,DA01,612100,,,
